id,state,key_mun,name_mun
1,1,1,Aguascalientes
2,1,2,Asientos
3,1,3,Calvillo
4,1,4,Cosío
5,1,5,Jesús María
6,1,6,Pabellón de Arteaga
7,1,7,Rincón de Romos
8,1,8,San José de Gracia
9,1,9,Tepezalá
10,1,10,El Llano
11,1,11,San Francisco de los Romo
12,2,1,Ensenada
13,2,2,Mexicali
14,2,3,Tecate
15,2,4,Tijuana
16,2,5,Playas de Rosarito
17,3,1,Comondú
18,3,2,Mulegé
19,3,3,La Paz
20,3,4,Los Cabos
21,3,5,Loreto
22,4,1,Calkiní
23,4,2,Campeche
24,4,3,Carmen
25,4,4,Champotón
26,4,5,Hecelchakán
27,4,6,Hopelchén
28,4,7,Palizada
29,4,8,Tenabo
30,4,9,Escárcega
31,4,10,Calakmul
32,4,11,Candelaria
33,5,1,Abasolo
34,5,2,Acuña
35,5,3,Allende
36,5,4,Arteaga
37,5,5,Candela
38,5,6,Castaños
39,5,7,Cuatro Ciénegas
40,5,8,Escobedo
41,5,9,Francisco I. Madero
42,5,10,Frontera
43,5,11,General Cepeda
44,5,12,Guerrero
45,5,13,Hidalgo
46,5,14,Jiménez
47,5,15,Juárez
48,5,16,Lamadrid
49,5,17,Matamoros
50,5,18,Monclova
51,5,19,Morelos
52,5,20,Múzquiz
53,5,21,Nadadores
54,5,22,Nava
55,5,23,Ocampo
56,5,24,Parras
57,5,25,Piedras Negras
58,5,26,Progreso
59,5,27,Ramos Arizpe
60,5,28,Sabinas
61,5,29,Sacramento
62,5,30,Saltillo
63,5,31,San Buenaventura
64,5,32,San Juan de Sabinas
65,5,33,San Pedro
66,5,34,Sierra Mojada
67,5,35,Torreón
68,5,36,Viesca
69,5,37,Villa Unión
70,5,38,Zaragoza
71,6,1,Armería
72,6,2,Colima
73,6,3,Comala
74,6,4,Coquimatlán
75,6,5,Cuauhtémoc
76,6,6,Ixtlahuacán
77,6,7,Manzanillo
78,6,8,Minatitlán
79,6,9,Tecomán
80,6,10,Villa de Álvarez
81,7,1,Acacoyagua
82,7,2,Acala
83,7,3,Acapetahua
84,7,4,Altamirano
85,7,5,Amatán
86,7,6,Amatenango de la Frontera
87,7,7,Amatenango del Valle
88,7,8,Angel Albino Corzo
89,7,9,Arriaga
90,7,10,Bejucal de Ocampo
91,7,11,Bella Vista
92,7,12,Berriozábal
93,7,13,Bochil
94,7,14,El Bosque
95,7,15,Cacahoatán
96,7,16,Catazajá
97,7,17,Cintalapa
98,7,18,Coapilla
99,7,19,Comitán de Domínguez
100,7,20,La Concordia
101,7,21,Copainalá
102,7,22,Chalchihuitán
103,7,23,Chamula
104,7,24,Chanal
105,7,25,Chapultenango
106,7,26,Chenalhó
107,7,27,Chiapa de Corzo
108,7,28,Chiapilla
109,7,29,Chicoasén
110,7,30,Chicomuselo
111,7,31,Chilón
112,7,32,Escuintla
113,7,33,Francisco León
114,7,34,Frontera Comalapa
115,7,35,Frontera Hidalgo
116,7,36,La Grandeza
117,7,37,Huehuetán
118,7,38,Huixtán
119,7,39,Huitiupán
120,7,40,Huixtla
121,7,41,La Independencia
122,7,42,Ixhuatán
123,7,43,Ixtacomitán
124,7,44,Ixtapa
125,7,45,Ixtapangajoya
126,7,46,Jiquipilas
127,7,47,Jitotol
128,7,48,Juárez
129,7,49,Larráinzar
130,7,50,La Libertad
131,7,51,Mapastepec
132,7,52,Las Margaritas
133,7,53,Mazapa de Madero
134,7,54,Mazatán
135,7,55,Metapa
136,7,56,Mitontic
137,7,57,Motozintla
138,7,58,Nicolás Ruíz
139,7,59,Ocosingo
140,7,60,Ocotepec
141,7,61,Ocozocoautla de Espinosa
142,7,62,Ostuacán
143,7,63,Osumacinta
144,7,64,Oxchuc
145,7,65,Palenque
146,7,66,Pantelhó
147,7,67,Pantepec
148,7,68,Pichucalco
149,7,69,Pijijiapan
150,7,70,El Porvenir
151,7,71,Villa Comaltitlán
152,7,72,Pueblo Nuevo Solistahuacán
153,7,73,Rayón
154,7,74,Reforma
155,7,75,Las Rosas
156,7,76,Sabanilla
157,7,77,Salto de Agua
158,7,78,San Cristóbal de las Casas
159,7,79,San Fernando
160,7,80,Siltepec
161,7,81,Simojovel
162,7,82,Sitalá
163,7,83,Socoltenango
164,7,84,Solosuchiapa
165,7,85,Soyaló
166,7,86,Suchiapa
167,7,87,Suchiate
168,7,88,Sunuapa
169,7,89,Tapachula
170,7,90,Tapalapa
171,7,91,Tapilula
172,7,92,Tecpatán
173,7,93,Tenejapa
174,7,94,Teopisca
175,7,95,Tila
176,7,96,Tonalá
177,7,97,Totolapa
178,7,98,La Trinitaria
179,7,99,Tumbalá
180,7,100,Tuxtla Gutiérrez
181,7,101,Tuxtla Chico
182,7,102,Tuzantán
183,7,103,Tzimol
184,7,104,Unión Juárez
185,7,105,Venustiano Carranza
186,7,106,Villa Corzo
187,7,107,Villaflores
188,7,108,Yajalón
189,7,109,San Lucas
190,7,110,Zinacantán
191,7,111,San Juan Cancuc
192,7,112,Aldama
193,7,113,Benemérito de las Américas
194,7,114,Maravilla Tenejapa
195,7,115,Marqués de Comillas
196,7,116,Montecristo de Guerrero
197,7,117,San Andrés Duraznal
198,7,118,Santiago el Pinar
199,8,1,Ahumada
200,8,2,Aldama
201,8,3,Allende
202,8,4,Aquiles Serdán
203,8,5,Ascensión
204,8,6,Bachíniva
205,8,7,Balleza
206,8,8,Batopilas
207,8,9,Bocoyna
208,8,10,Buenaventura
209,8,11,Camargo
210,8,12,Carichí
211,8,13,Casas Grandes
212,8,14,Coronado
213,8,15,Coyame del Sotol
214,8,16,La Cruz
215,8,17,Cuauhtémoc
216,8,18,Cusihuiriachi
217,8,19,Chihuahua
218,8,20,Chínipas
219,8,21,Delicias
220,8,22,Dr. Belisario Domínguez
221,8,23,Galeana
222,8,24,Santa Isabel
223,8,25,Gómez Farías
224,8,26,Gran Morelos
225,8,27,Guachochi
226,8,28,Guadalupe
227,8,29,Guadalupe y Calvo
228,8,30,Guazapares
229,8,31,Guerrero
230,8,32,Hidalgo del Parral
231,8,33,Huejotitán
232,8,34,Ignacio Zaragoza
233,8,35,Janos
234,8,36,Jiménez
235,8,37,Juárez
236,8,38,Julimes
237,8,39,López
238,8,40,Madera
239,8,41,Maguarichi
240,8,42,Manuel Benavides
241,8,43,Matachí
242,8,44,Matamoros
243,8,45,Meoqui
244,8,46,Morelos
245,8,47,Moris
246,8,48,Namiquipa
247,8,49,Nonoava
248,8,50,Nuevo Casas Grandes
249,8,51,Ocampo
250,8,52,Ojinaga
251,8,53,Praxedis G. Guerrero
252,8,54,Riva Palacio
253,8,55,Rosales
254,8,56,Rosario
255,8,57,San Francisco de Borja
256,8,58,San Francisco de Conchos
257,8,59,San Francisco del Oro
258,8,60,Santa Bárbara
259,8,61,Satevó
260,8,62,Saucillo
261,8,63,Temósachic
262,8,64,El Tule
263,8,65,Urique
264,8,66,Uruachi
265,8,67,Valle de Zaragoza
266,9,1,Canatlán
267,9,2,Canelas
268,9,3,Coneto de Comonfort
269,9,4,Cuencamé
270,9,5,Durango
271,9,6,General Simón Bolívar
272,9,7,Gómez Palacio
273,9,8,Guadalupe Victoria
274,9,9,Guanaceví
275,9,10,Hidalgo
276,9,11,Indé
277,9,12,Lerdo
278,9,13,Mapimí
279,9,14,Mezquital
280,9,15,Nazas
281,9,16,Nombre de Dios
282,9,17,Ocampo
283,9,18,El Oro
284,9,19,Otáez
285,9,20,Pánuco de Coronado
286,9,21,Peñón Blanco
287,9,22,Poanas
288,9,23,Pueblo Nuevo
289,9,24,Rodeo
290,9,25,San Bernardo
291,9,26,San Dimas
292,9,27,San Juan de Guadalupe
293,9,28,San Juan del Río
294,9,29,San Luis del Cordero
295,9,30,San Pedro del Gallo
296,9,31,Santa Clara
297,9,32,Santiago Papasquiaro
298,9,33,Súchil
299,9,34,Tamazula
300,9,35,Tepehuanes
301,9,36,Tlahualilo
302,9,37,Topia
303,9,38,Vicente Guerrero
304,9,39,Nuevo Ideal
305,10,1,Azcapotzalco
306,10,2,Coyoacán
307,10,3,Cuajimalpa de Morelos
308,10,4,Gustavo A. Madero
309,10,5,Iztacalco
310,10,6,Iztapalapa
